file,page,image_number_on_page,xref,smask,pdf_width,pdf_height,saved_width,saved_height,mode,bits_per_component,colorspace,name,filter
page_003/page_003_image_01_xref_72.png,3,1,72,0,618,570,618,570,RGB,8,DeviceRGB,Image72,FlateDecode
page_004/page_004_image_01_xref_74.png,4,1,74,0,1253,607,1253,607,RGB,8,DeviceRGB,Image74,DCTDecode
page_004/page_004_image_02_xref_75.png,4,2,75,0,758,563,758,563,RGB,8,DeviceRGB,Image75,FlateDecode
page_005/page_005_image_01_xref_77.png,5,1,77,0,890,325,890,325,RGB,8,DeviceRGB,Image77,FlateDecode
page_005/page_005_image_02_xref_78.png,5,2,78,0,750,128,750,128,RGB,8,DeviceRGB,Image78,DCTDecode
page_005/page_005_image_03_xref_79.png,5,3,79,0,576,555,576,555,RGB,8,DeviceRGB,Image79,DCTDecode
page_006/page_006_image_01_xref_81.png,6,1,81,0,840,79,840,79,RGB,8,DeviceRGB,Image81,DCTDecode
page_006/page_006_image_02_xref_82.png,6,2,82,0,866,376,866,376,RGB,8,DeviceRGB,Image82,DCTDecode
page_007/page_007_image_01_xref_84.png,7,1,84,0,635,430,635,430,RGB,8,DeviceRGB,Image84,FlateDecode
page_007/page_007_image_02_xref_85.png,7,2,85,0,1253,452,1253,452,RGB,8,DeviceRGB,Image85,DCTDecode
page_008/page_008_image_01_xref_88.png,8,1,88,0,1253,630,1253,630,RGB,8,DeviceRGB,Image88,FlateDecode
page_009/page_009_image_01_xref_90.png,9,1,90,0,620,385,620,385,RGB,8,DeviceRGB,Image90,FlateDecode
